#t p q a dW Et
3.76 -1.41231 -0.073295 0.0732293 0 1
3.77 -1.41151 -0.0874142 0.0873029 -0 1
3.78 -1.41057 -0.101525 0.10135 -0 1
3.79 -1.40948 -0.115625 0.115368 -0 1
3.8 -1.40826 -0.129714 0.12935 0 1
3.81 -1.4069 -0.14379 0.143295 0 1
3.82 -1.40539 -0.157851 0.157197 -0 1
3.83 -1.40375 -0.171897 0.171052 -0 1
3.84 -1.40197 -0.185926 0.184857 0 1
3.85 -1.40006 -0.199936 0.198607 -0 1
3.86 -1.398 -0.213927 0.212299 -0 1
3.87 -1.39581 -0.227896 0.225928 0 1
3.88 -1.39348 -0.241842 0.239492 0 1
3.89 -1.39102 -0.255765 0.252986 0 1
3.9 -1.38842 -0.269662 0.266406 0 1
3.91 -1.38569 -0.283533 0.279749 0 1
3.92 -1.38283 -0.297376 0.293012 -0 1
3.93 -1.37983 -0.311189 0.306191 0 1
3.94 -1.37671 -0.324972 0.319282 -0 1
3.95 -1.37345 -0.338723 0.332283 0 1
3.96 -1.37006 -0.352441 0.345189 0 1
3.97 -1.36654 -0.366124 0.357999 0 1
3.98 -1.3629 -0.379771 0.370708 -0 1
3.99 -1.35913 -0.393381 0.383314 -0 1
4 -1.35524 -0.406953 0.395813 0 1
4.01 -1.35121 -0.420486 0.408204 0 1
4.02 -1.34707 -0.433977 0.420483 -0 1
4.03 -1.34281 -0.447427 0.432647 -0 1
4.04 -1.33842 -0.460833 0.444694 -0 1
4.05 -1.33391 -0.474195 0.456622 -0 1
4.06 -1.32929 -0.487511 0.468428 -0 1
4.07 -1.32454 -0.50078 0.48011 -0 1
4.08 -1.31968 -0.514001 0.491665 -0 1
4.09 -1.31471 -0.527173 0.503092 -0 1
4.1 -1.30962 -0.540295 0.514389 -0 1
4.11 -1.30442 -0.553365 0.525553 -0 1
4.12 -1.29911 -0.566383 0.536584 -0 1
4.13 -1.29369 -0.579347 0.547478 -0 1
4.14 -1.28816 -0.592257 0.558235 -0 1
4.15 -1.28253 -0.60511 0.568853 0 1
4.16 -1.27679 -0.617907 0.57933 0 1
4.17 -1.27094 -0.630646 0.589666 0 1
4.18 -1.26499 -0.643325 0.599859 -0 1
4.19 -1.25895 -0.655945 0.609909 -0 1
4.2 -1.2528 -0.668504 0.619813 -0 1
4.21 -1.24655 -0.681001 0.629571 0 1
4.22 -1.24021 -0.693435 0.639182 -0 1
4.23 -1.23377 -0.705805 0.648646 0 1
4.24 -1.22723 -0.71811 0.657962 -0 1
4.25 -1.22061 -0.730349 0.66713 0 1
4.26 -1.21389 -0.742522 0.676148 -0 1
4.27 -1.20709 -0.754627 0.685017 -0 1
4.28 -1.20019 -0.766663 0.693736 -0 1
4.29 -1.19321 -0.77863 0.702305 0 1
4.3 -1.18615 -0.790527 0.710724 0 1
4.31 -1.179 -0.802353 0.718993 0 1
4.32 -1.17177 -0.814107 0.727113 -0 1
4.33 -1.16446 -0.825788 0.735082 -0 1
4.34 -1.15707 -0.837395 0.742902 -0 1
4.35 -1.1496 -0.848929 0.750573 -0 1
4.36 -1.14205 -0.860387 0.758095 -0 1
4.37 -1.13444 -0.87177 0.765469 0 1
4.38 -1.12675 -0.883076 0.772695 -0 1
4.39 -1.11898 -0.894304 0.779774 0 1
4.4 -1.11115 -0.905455 0.786706 -0 1
4.41 -1.10325 -0.916527 0.793493 0 1
4.42 -1.09528 -0.92752 0.800135 -0 1
4.43 -1.08725 -0.938433 0.806633 0 1
4.44 -1.07915 -0.949265 0.812988 -0 1
4.45 -1.07099 -0.960015 0.8192 0 1
4.46 -1.06277 -0.970684 0.825272 0 1
4.47 -1.05448 -0.98127 0.831204 -0 1
4.48 -1.04614 -0.991774 0.836998 -0 1
4.49 -1.03774 -1.00219 0.842654 -0 1
4.5 -1.02929 -1.01253 0.848174 0 1
4.51 -1.02078 -1.02278 0.853559 0 1
4.52 -1.01222 -1.03294 0.858811 0 1
4.53 -1.0036 -1.04302 0.863931 -0 1
4.54 -0.99494 -1.05302 0.86892 -0 1
4.55 -0.986227 -1.06292 0.87378 -0 1
4.56 -0.977465 -1.07274 0.878513 -0 1
4.57 -0.968657 -1.08247 0.88312 -0 1
4.58 -0.959803 -1.09211 0.887602 0 1
4.59 -0.950905 -1.10167 0.891962 -0 1
4.6 -0.941964 -1.11113 0.896201 0 1
4.61 -0.932982 -1.12051 0.900321 0 1
4.62 -0.923958 -1.12979 0.904323 -0 1
4.63 -0.914896 -1.13898 0.908209 -0 1
4.64 -0.905794 -1.14809 0.911981 0 1
4.65 -0.896656 -1.1571 0.915641 0 1
4.66 -0.887482 -1.16602 0.919191 -0 1
4.67 -0.878273 -1.17485 0.922632 -0 1
4.68 -0.86903 -1.18359 0.925966 0 1
4.69 -0.859754 -1.19223 0.929196 -0 1
4.7 -0.850446 -1.20078 0.932322 0 1
4.71 -0.841108 -1.20924 0.935347 -0 1
4.72 -0.83174 -1.2176 0.938273 -0 1
4.73 -0.822343 -1.22587 0.941102 0 1
4.74 -0.812918 -1.23405 0.943835 -0 1
4.75 -0.803466 -1.24213 0.946474 0 1
4.76 -0.793989 -1.25012 0.949022 0 1
4.77 -0.784486 -1.25801 0.951481 0 1
4.78 -0.774959 -1.26581 0.953851 -0 1
4.79 -0.765409 -1.27351 0.956135 -0 1
4.8 -0.755837 -1.28112 0.958336 0 1
4.81 -0.746243 -1.28863 0.960454 -0 1
4.82 -0.736628 -1.29604 0.962492 0 1
4.83 -0.726993 -1.30336 0.964452 0 1
4.84 -0.717339 -1.31058 0.966335 -0 1
4.85 -0.707667 -1.31771 0.968143 0 1
4.86 -0.697977 -1.32474 0.969879 0 1
4.87 -0.68827 -1.33167 0.971544 0 1
4.88 -0.678546 -1.3385 0.97314 0 1
4.89 -0.668807 -1.34524 0.974669 0 1
4.9 -0.659053 -1.35188 0.976133 0 1
4.91 -0.649285 -1.35842 0.977532 0 1
4.92 -0.639502 -1.36486 0.97887 0 1
4.93 -0.629707 -1.37121 0.980148 0 1
4.94 -0.6199 -1.37746 0.981368 0 1
4.95 -0.61008 -1.38361 0.982531 0 1
4.96 -0.600249 -1.38966 0.983639 0 1
4.97 -0.590408 -1.39561 0.984694 -0 1
4.98 -0.580556 -1.40147 0.985698 0 1
4.99 -0.570694 -1.40722 0.986652 -0 1
5 -0.560823 -1.41288 0.987557 0 1
5.01 -0.550943 -1.41844 0.988416 0 1
5.02 -0.541054 -1.4239 0.98923 -0 1
5.03 -0.531158 -1.42926 0.99 0 1
5.04 -0.521255 -1.43452 0.990729 0 1
5.05 -0.511344 -1.43968 0.991417 -0 1
5.06 -0.501426 -1.44475 0.992067 -0 1
5.07 -0.491503 -1.44971 0.992678 0 1
5.08 -0.481573 -1.45458 0.993254 -0 1
5.09 -0.471638 -1.45934 0.993796 -0 1
5.1 -0.461697 -1.46401 0.994304 0 1
5.11 -0.451752 -1.46858 0.99478 -0 1
5.12 -0.441802 -1.47305 0.995226 0 1
5.13 -0.431847 -1.47741 0.995643 0 1
5.14 -0.421889 -1.48168 0.996032 0 1
5.15 -0.411927 -1.48585 0.996394 0 1
5.16 -0.401961 -1.48992 0.996731 -0 1
5.17 -0.391992 -1.49389 0.997044 -0 1
5.18 -0.38202 -1.49776 0.997334 -0 1
5.19 -0.372046 -1.50153 0.997602 0 1
5.2 -0.362068 -1.5052 0.99785 0 1
5.21 -0.352089 -1.50877 0.998077 -0 1
5.22 -0.342107 -1.51224 0.998286 0 1
5.23 -0.332123 -1.51562 0.998478 -0 1
5.24 -0.322137 -1.51889 0.998653 -0 1
5.25 -0.31215 -1.52206 0.998813 -0 1
5.26 -0.302161 -1.52513 0.998957 0 1
5.27 -0.292171 -1.5281 0.999089 -0 1
5.28 -0.282179 -1.53097 0.999207 -0 1
5.29 -0.272187 -1.53375 0.999314 -0 1
5.3 -0.262193 -1.53642 0.999409 0 1
5.31 -0.252199 -1.53899 0.999494 -0 1
5.32 -0.242203 -1.54146 0.99957 -0 1
5.33 -0.232207 -1.54383 0.999637 -0 1
5.34 -0.222211 -1.54611 0.999695 -0 1
5.35 -0.212213 -1.54828 0.999746 0 1
5.36 -0.202216 -1.55035 0.999791 -0 1
5.37 -0.192218 -1.55232 0.999829 -0 1
5.38 -0.182219 -1.55419 0.999862 -0 1
5.39 -0.17222 -1.55597 0.99989 -0 1
5.4 -0.162221 -1.55764 0.999913 -0 1
5.41 -0.152222 -1.55921 0.999933 0 1
5.42 -0.142223 -1.56068 0.999949 -0 1
5.43 -0.132223 -1.56205 0.999962 -0 1
5.44 -0.122223 -1.56333 0.999972 0 1
5.45 -0.112224 -1.5645 0.99998 -0 1
5.46 -0.102224 -1.56557 0.999986 -0 1
5.47 -0.092224 -1.56654 0.999991 -0 1
5.48 -0.082224 -1.56742 0.999994 -0 1
5.49 -0.0722241 -1.56819 0.999997 -0 1
5.5 -0.0622241 -1.56886 0.999998 -0 1
